Q96CV9	P78424-1
B2RUZ4	P32942
P49638	Q8NBQ5
ensembl:ENST00000485853.5	Q8N6R1
Q8IY49-2	Q96BA8-1
ensembl:ENST00000599638.2	P0DP24
O43889-2	Q9BU79
Q96MK2-1	E7EUA2
Q92843-1	Q92915-2
P09211	Q92624
P02585	P19429
Q86UN2	Q7Z3S9-1
Q99816-1	Q8N6Y0-1
P50222	Q9Y586
A0A0A0MR12	O75886-1
Q9BT92	Q9HAZ2-2
P15884-3	Q9Y316-1
O95393	Q15125
Q9NWS6-1	Q9UHG0-1
O60282-1	P50222
O75604-1	Q58EX7-1
O75150	P50222
Q5JQP4	Q9Y2D8-1
O60504-1	Q96HB5-1
Q7Z3B4-1	Q969V4
Q8NBQ5	Q96MX0-1
Q3LI67	Q5T751
P02538	O14964-1
Q8TAP4-1	Q9NVV9-1
Q07002-2	ensembl:ENSP00000476265.1
Q9UJV3-2	O15499
O15119-1	Q08117-2
ensembl:ENSP00000457957.1	Q8IYF3-3
Q96FV9-1	Q8N6Y0-1
O75177-3	Q8HWS3
O75506	O00560-1
O75410-7	Q9Y316-1
A6NJL1	Q8WXF1-2
O60504-1	Q8IXY8-1
Q9NR81-1	Q8NHQ1-1
Q8N9N5-2	P05019-2
Q71SY5-1	Q9BVN2-2
Q5VZY2-1	Q3SXY8-1
O14732-1	Q8N4M1-2
Q8TD06	P37198
Q9BTE7	O60921-1
Q9NZC7-5	Q16630-2
Q15078	ensembl:ENSP00000462298.1
Q8N8B7-1	Q15323
P40426-5	Q6RW13-2
Q01085-1	Q92567-2
Q9NZD8-1	P04271
P06241-3	P50222
Q5TA79	Q9BYR5
Q9H0I2-1	Q9NX63
Q9P0T4	ensembl:ENSP00000462298.1
Q96I34	Q9BRK4
P55957-1	Q04864-2
Q8TED1	Q96JF0-2
P60409	Q9UJW8
Q9H2S5-1	Q6NUQ1
P11215-1	Q3KNW5
P55273	P17568
P25791-1	Q674X7-4
O76015	Q9Y2J4-1
K7ELP9	K7ELP9
Q6ZMD2-1	Q9H2L4
Q8TAU3-1	Q92993-1
Q5T754	Q92504
Q9HD20-2	Q13520
O95363	Q10567
A0A087WTJ8	Q6A162
P05787-1	Q15323
Q15560-1	Q15633-1
O95471-1	P05090
Q96HA8-1	O00422
P52597	Q8ND83-2
O76083-2	Q16543
A6NEM1-1	Q8N6Y0-1
P12314-1	Q5TGU0-1
Q7Z2X4-3	Q8N5R6-4
O15273	Q6DKK2
P57075-2	Q9BRK4
O95833	Q9UN37
Q9NQ66-2	P56545-3
P30301	Q4KMG9-1
Q9H1C4	Q96Q45-2
Q96B97-1	Q9ULZ2
P49901	Q5T7P2
Q96Q77-1	Q5JT82
P17020	Q9NP64-1
Q9HCM9-2	Q9UNA4
Q5TA81	Q5T753
P78382-1	Q8TBE3
A0AVG3	Q16623-1
Q9P287-1	U3KQK0
Q3B820-1	Q15025-1
O14964-1	Q15038-1
Q07325	Q96Q45-2
P60329	Q8WWB5-1
O75031-1	Q96HB5-1
Q8N1B4-1	Q96SQ5-1
P25791-1	P07910-2
A0A1B0GWI1	Q96KN3-1
Q9HCP6	Q9Y320-1
P0DP25	Q6IPM2-1
O75177-3	Q6AI39
Q5VUJ9-2	P19237
Q96CS2-1	Q9BYV2-1
Q5T5A8	O15162-1
P0DN79	P35520-1
Q7Z614-3	G5E962
O00767	Q3MIR4
Q9BRK4	Q93062-3
Q8TF42	Q0VD86-1
Q9H8U3	B3EWG6
Q9NRE2-1	A6NC98-1
P60370	Q9BYR7
P78337	Q93062-3
Q8TBZ8	Q8NA61-2
Q6NSM0	ensembl:ENSP00000462298.1
Q92625-1	Q86T90-1
O14653-1	Q7Z5B4-5
Q99633-1	Q9UKT9-1
O43889-2	O43169
Q96GM5-1	Q9BRK4
Q7L590-2	Q14566
O95159	Q15125
P61764-1	O00635
Q15415-1	Q96MU7-1
Q9Y242	Q86UR1-2
P07992-1	Q13064
F5H0K7	Q5JR59-3
Q06455-4	Q92764
O75400-2	Q9H190-1
Q9UHX1-2	Q7Z7F0-3
P02786	Q8TDT2
Q99757	Q8N2N9-4
Q8NBD8	P11912-1
Q3V5L5-5	Q5T6F2-1
Q9BRA0-1	P86480
O95817	O15496
Q969E2-1	Q15125
Q96EY1-1	B8A4K4
Q2TAL8	Q7Z7F0-3
Q8TAU3-1	Q96HT8
P26371	P26371
Q14192-1	Q7Z5V6-2
Q96QH2-2	Q86WV1-1
P30519-1	P48051
Q9H4D5-1	Q9NPJ8-3
D3DPN2	Q9BYR9
Q6UY14-1	Q8NI38-1
P04271	P29034
Q8N9N5-2	Q99750
Q4LDR2	Q96DZ7-1
Q96D03	Q9H773
Q9BQ89	ensembl:ENSP00000476265.1
Q9Y3E0	Q99963-1
A0A087WVS8	Q5JXC2-1
Q9BTA9-1	Q13077-1
A0A0S2Z436	ensembl:ENSP00000476265.1
O43242-1	P60896-1
A0A024R0Y4	P61326-1
O14964-1	Q6P1W5-2
O15160-1	Q8IYA8-1
Q86VP1-1	Q9NWS9-2
B2RUY7-1	Q06418
O60725	Q8N5M9
Q8TAC9-1	Q3KNW5
Q9H2L5-1	P43360
Q13526	P41212
Q9GZV7	Q96B26
Q14D33	Q13137-1
Q5T619	Q7Z4V0-1
Q04864-2	Q9UJX0-2
Q8IZ69-1	Q96EG3
P09493-5	Q9BQD3
Q9NQ86-1	Q9NQ86-1
H0Y517	Q99750
Q6ZSS7	Q6P5T0
Q6P1L5-1	Q8N9N5-2
O14735-1	Q8TED1
Q9UM82	ensembl:ENSP00000476265.1
A2RU14	Q9Y5X5-2
Q92692-2	P60409
Q9NQW7-3	Q15669
Q96H86-1	B8A4K4
Q3V5L5-5	Q53HV7-2
P48380-3	Q14192-1
P40937-1	O00635
P54646	Q7Z3S9-1
Q96FH0-1	Q14696-1
O14964-1	P05783
O75716	A0A1B0GVB8
Q9BYR3	Q5T752
Q96EH3	A2RUH7-1
O43741-1	Q9Y250-1
Q3B820-1	Q8NHQ1-1
O75553-5	Q96K80
P61978-2	Q5VWX1
O14503	Q08AM6-1
Q6NYC8-1	A0A0C4DFQ0
O76083-2	P60328
Q02930-4	Q9BQ66
Q01638-2	Q8TDT2
Q2TAL8	Q02086-1
O95231	P60410
Q14498-1	P68400-1
Q9Y592-2	Q9Y592-2
Q99675	Q9UIQ6-2
Q8IYF3-3	Q9H596
