Country,Imports [Percent of GDP] 2016,Income per person [GDP per person] 2020,Exports [Percent of GDP] 2016,CO2 emissions [Tonnes per Person] 2014,Energy production [Tonnes of oil equivalent per Person] 2009,Inflation annual [Percent] 2017,Life expectancy [Years] 2018,Babies per woman 2018,Democracy score 2011,Median age [Years] 2020,Military expenditure [Percent of GDP] 2016,Oil production [Tonnes] 2016,Child mortality [0-5 year olds dying per 1000 born] 2018
Guyana,54.5,8270.0,45.8,2.63,,1.92,68.2,2.46,6.0,26.3,1.37,,31.8
Haiti,52.6,1770.0,20.7,0.271,0.00018999999999999998,13.4,64.5,2.82,,24.3,0.00084,,64.4
Holy See,,,,,,,,,,,,,
Honduras,57.9,4800.0,42.6,1.08,0.00029,4.21,73.1,2.39,7.0,24.9,1.64,,17.9
Hungary,79.5,28500.0,89.5,4.29,0.0011,3.67,75.9,1.4,10.0,43.4,1.04,,5.05
Iceland,42.0,49600.0,48.4,6.04,0.013999999999999999,0.48200000000000004,82.6,1.91,,37.3,,,2.08
India,21.0,7800.0,19.3,1.73,0.00042,3.0,69.1,2.28,9.0,28.2,2.51,40200000.0,41.1
Indonesia,18.3,12600.0,19.1,1.82,0.00148,4.24,72.0,2.31,8.0,29.3,0.7909999999999999,43000000.0,25.0
Iran,20.8,18500.0,22.4,8.28,0.0047799999999999995,8.1,76.5,1.61,-7.0,32.4,2.79,216000000.0,13.9
Iraq,40.9,15400.0,32.5,4.81,0.00389,16.2,68.0,4.25,3.0,20.0,3.48,219000000.0,29.2
Ireland,99.6,68400.0,122.0,7.27,0.00035,-0.308,81.5,1.98,10.0,38.7,0.341,,2.79
Israel,28.2,34300.0,30.3,8.13,0.00045,0.152,82.4,2.92,10.0,30.6,4.65,,3.33
Italy,26.5,35800.0,29.8,5.38,0.00045,0.629,82.6,1.5,10.0,47.9,1.52,3800000.0,2.91
Jamaica,44.9,8870.0,31.4,2.59,0.00018999999999999998,6.95,75.2,1.98,9.0,31.4,0.9590000000000001,,14.7
Japan,15.1,39800.0,16.1,9.47,0.00074,-0.215,84.2,1.48,10.0,48.2,0.9420000000000001,,2.76
Jordan,56.2,8540.0,35.1,3.0,0.00005,1.65,76.7,3.24,-3.0,23.2,4.58,,16.7
Kazakhstan,28.5,24900.0,31.8,14.2,0.0092,6.38,72.0,2.57,-6.0,30.6,0.976,79300000.0,11.5
